EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
146,3.8,S,61.0,88.25978624,481.0,0.041942239
209,4.2,S,68.0,116.082342,373.0,0.037115264
414,4.1,S,66.0,102.8265568,371.0,0.011931486
735,4.2,S,87.0,73.77953875,369.0,0.063620554
493,4.0,N,65.0,161.1502182,324.0,0.030799546
559,4.4,S,88.0,172.4318688,382.0,0.029982291
629,4.1,S,59.0,67.40277451,735.0,0.049637931
616,4.3,S,84.0,108.9124874,460.0,0.048970463
575,4.2,S,52.0,189.4637213,229.0,0.042057839
155,4.0,N,62.0,175.6435421,321.0,0.020655275
552,4.1,S,79.0,31.70755822,224.0,0.147826202
280,4.2,R,57.0,29.01135683,348.0,0.109661823
211,4.1,S,90.0,45.19138358,315.0,0.026246967
523,4.3,N,74.0,108.6741774,462.0,0.069546854
8744,4.0,S,63.0,89.0,333.0,0.031668944
335,4.1,S,70.0,149.4379792,361.0,0.008027648
344,4.0,N,42.0,53.37062788,558.0,0.05343631
497,4.2,S,74.0,118.3727843,375.0,0.012497431
336,3.7,S,86.0,23.34014205,376.0,0.085004318
280,4.2,R,57.0,72.62140039,190.0,0.096105667
202,4.3,S,77.0,151.5420287,259.0,0.077055949
554,4.0,S,62.0,58.54742099,384.0,0.132216627
362,4.3,N,55.0,58.5766782,827.0,0.03653425
471,4.1,S,76.0,118.8692227,444.0,0.017499359
602,4.1,N,25.0,100.2507254,745.0,0.023163804
106,4.2,N,66.0,136.7871479,348.0,0.037882267
532,4.4,S,86.0,156.402285,303.0,0.013901635
133,4.4,R,67.0,122.8084908,376.0,0.075519632
233,4.3,S,54.0,96.89158459,695.0,0.014991419
448,4.0,S,53.0,154.7550107,875.0,0.003196538
498,4.2,S,72.0,91.26972857,273.0,0.046974205
664,4.0,S,90.0,48.98675813,663.0,0.017323145
505,4.2,R,90.0,95.89544984,313.0,0.00958169
202,4.3,S,77.0,94.57855744,514.0,0.0557712
706,4.1,N,55.0,84.2524462,205.0,0.025619623
173,4.3,R,64.0,115.4017968,295.0,0.027043604
230,4.2,S,59.0,154.8827853,462.0,0.009115091
460,4.1,N,81.0,158.2103048,317.0,0.020522944
376,4.2,S,55.0,52.41511685,532.0,0.025838687
294,4.3,S,73.0,172.9230274,430.0,0.022631606
728,4.1,N,55.0,143.4418507,732.0,0.001749687
8475,4.1,S,86.0,71.0,314.0,0.014175083
629,4.1,S,59.0,139.3883803,519.0,0.015735498
249,3.9,N,48.0,74.91477649,340.0,0.028812526
8820,4.2,S,89.0,97.0,875.0,0.033632516
276,4.2,N,48.0,39.35581376,131.0,0.101480879
661,4.4,S,73.0,141.0222059,444.0,0.00770431
8872,4.3,S,78.0,77.0,528.0,0.024371435
661,4.4,S,73.0,54.22281058,815.0,0.040498619
609,4.0,N,51.0,20.31141724,292.0,0.109897768
527,4.2,N,74.0,23.08384664,234.0,0.227789813
487,4.3,S,81.0,106.2686607,219.0,0.02450689
350,4.0,N,39.0,90.63051098,375.0,0.022885906
493,4.0,N,65.0,48.08962023,344.0,0.093387562
742,4.1,N,15.0,111.1239688,301.0,0.013718314
584,4.1,S,88.0,58.2938891,407.0,0.0226794
502,4.0,S,86.0,103.278148,366.0,0.029050038
411,4.0,S,51.0,68.97085142,444.0,0.020480586
317,4.0,N,28.0,145.5412142,875.0,0.00524191
207,4.0,S,56.0,196.0032696,324.0,0.005792186
559,4.4,S,88.0,159.8374696,570.0,0.017200823
271,4.3,S,79.0,108.3144044,377.0,0.010410421
657,4.2,S,76.0,44.63429274,393.0,0.048454404
203,3.9,N,87.0,165.4879025,500.0,0.004835253
514,4.3,S,80.0,116.8542277,469.0,0.013916808
569,4.1,S,54.0,195.4441847,570.0,0.002824975
532,4.4,S,86.0,165.1641692,398.0,0.004875788
422,4.0,S,55.0,53.73825687,346.0,0.115403407
405,3.7,N,44.0,37.57744456,219.0,0.056833009
8484,4.2,N,69.0,102.0,948.0,0.00702598
574,4.2,S,60.0,153.4679674,391.0,0.014121112
8553,4.2,S,88.0,69.0,523.0,0.029603487
258,4.2,N,33.0,36.9257935,236.0,0.400253239
341,4.2,S,75.0,69.22751739,192.0,0.047543893
414,4.1,S,66.0,58.92917159,696.0,0.014138618
185,4.3,S,90.0,117.0547077,223.0,0.019750802
335,4.1,S,70.0,66.08481651,375.0,0.020759657
461,4.0,S,64.0,35.17225107,487.0,0.028978466
373,3.9,N,39.0,59.82044648,532.0,0.025226956
254,4.3,S,85.0,54.37974212,315.0,0.104194653
144,3.8,S,74.0,122.0656024,376.0,0.030358692
344,4.0,N,42.0,46.01425623,145.0,0.137816553
413,4.2,N,41.0,116.4104482,549.0,0.014282295
243,3.9,S,62.0,56.00424567,214.0,0.028628603
495,4.4,S,54.0,36.3950913,1862.0,0.036721594
226,4.2,N,51.0,30.0448359,234.0,0.401611527
598,4.3,S,89.0,162.6305737,721.0,0.011135462
656,4.1,S,59.0,76.27599948,1380.0,0.018009249
251,3.7,R,71.0,102.4884918,654.0,0.007004617
697,4.0,N,55.0,72.76964343,875.0,0.023275049
735,4.2,S,87.0,101.375886,328.0,0.13679605
497,4.2,S,74.0,143.9300091,469.0,0.002224029
9179,4.4,S,88.0,85.0,501.0,0.057085055
8484,4.2,N,69.0,134.0,630.0,0.012389281
705,4.0,N,55.0,64.63759376,630.0,0.018980032
198,4.0,N,74.0,197.7507897,460.0,0.015832254
561,4.2,S,76.0,81.99253173,907.0,0.007040197
573,4.1,S,66.0,160.0402019,396.0,0.005845007
624,4.2,S,82.0,41.25516224,300.0,0.05434609
