EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
616,4.3,S,84.0,149.1203106,330.0,0.041717712
505,4.2,R,90.0,155.6235438,381.0,0.011560903
728,4.1,N,55.0,95.76728958,328.0,0.046739651
260,4.5,N,42.0,95.58948881,277.0,0.041661513
22,7.1,S,65.0,163.55,329.45,0.496490123
560,4.1,S,80.0,107.6593134,361.0,0.028137431
453,4.4,S,69.0,39.4900261,398.0,0.358575547
423,4.2,N,35.0,49.06382041,323.0,0.052042637
628,5.0,S,46.0,180.3617673,561.0,0.095378458
552,4.1,S,79.0,177.4572381,412.0,0.009561607
329,4.5,N,45.0,48.7960861,374.0,0.044909182
523,4.3,N,74.0,63.25641469,206.0,0.023317628
616,4.3,S,84.0,38.91884066,229.0,0.341636489
718,4.1,N,55.0,63.86511846,298.0,0.113006391
309,5.4,N,44.0,66.1910923,429.0,0.405281945
154,3.8,S,78.0,56.24829578,483.0,0.008429496
9221,4.5,S,83.0,121.0,815.0,0.019983807
9231,4.0,R,36.0,85.0,246.0,0.037141057
8680,4.8,S,70.0,198.0,299.0,0.036688802
723,4.1,N,54.0,101.4166961,747.0,0.013326397
475,4.1,N,40.0,99.66578567,447.0,0.024873092
8569,5.3,N,56.0,168.0,804.0,0.041047386
8994,7.8,S,70.0,90.0,579.0,11.45599998
198,4.0,N,74.0,193.0932821,430.0,0.00512294
511,4.1,N,52.0,120.6742282,393.0,0.006884117
329,4.5,N,45.0,93.41893509,574.0,0.029605548
174,3.7,S,77.0,63.28697842,484.0,0.041594277
575,4.2,S,52.0,94.41880857,223.0,0.0354908
257,4.7,N,45.0,62.74981516,387.0,0.182995963
24,6.0,N,46.0,89.11,362.0,0.921563117
73,5.9,N,46.0,188.7365648,300.0,0.200955115
249,3.9,N,48.0,142.6393133,732.0,0.001273028
366,6.3,N,42.0,90.71,558.0,1.478227542
673,4.2,S,76.0,95.84682074,375.0,0.058576267
365,4.9,N,41.0,176.9997021,412.0,0.046519733
436,4.1,N,49.0,50.47882506,836.0,0.025103462
388,4.6,N,55.0,71.50139216,393.0,0.072217436
79,4.3,N,76.0,55.55752527,285.0,0.12019568
188,4.3,S,77.0,193.6763612,293.0,0.01246249
579,4.5,S,81.0,198.9201898,320.0,0.003782364
220,4.0,S,81.0,32.77876547,836.0,0.038065153
8484,4.2,N,69.0,67.0,337.0,0.033606215
415,4.3,N,67.0,78.44817967,580.0,0.034219447
435,4.7,N,41.0,103.5168355,369.0,0.029253919
706,4.1,N,55.0,99.07062399,341.0,0.023019566
597,4.1,S,58.0,119.5695658,462.0,0.009865793
627,5.0,S,67.0,133.9398039,390.0,0.036869025
280,4.2,R,57.0,16.42665318,484.0,0.571355935
487,4.3,S,81.0,178.3857021,301.0,0.028286271
8442,5.2,N,42.0,92.0,403.0,0.395978811
555,4.0,N,50.0,73.63456518,345.0,0.016468461
438,5.0,N,38.0,195.7574402,270.0,0.062413597
8939,4.6,S,75.0,194.0,543.0,0.072336494
8886,5.0,N,46.0,55.0,208.0,0.339411991
226,4.2,N,51.0,58.22334821,696.0,0.023930768
474,4.4,N,41.0,96.33440394,270.0,0.089208432
385,6.6,N,37.0,158.71,356.0,1.755678396
408,4.2,N,59.0,26.63192678,948.0,0.077061879
391,4.7,N,57.0,93.31689654,466.0,0.168298404
246,4.7,S,82.0,27.89425234,329.0,0.714401561
626,4.5,S,70.0,82.17690761,827.0,0.036911966
591,4.5,S,81.0,132.189675,444.0,0.015104435
8570,4.1,N,23.0,38.0,329.0,0.061310826
8796,4.4,S,67.0,58.0,330.0,0.153414241
364,4.2,N,53.0,117.2015948,390.0,0.010870641
405,3.7,N,44.0,77.4030684,234.0,0.029174763
575,4.2,S,52.0,153.3498362,403.0,0.047488161
350,4.0,N,39.0,90.63051098,375.0,0.022885906
444,3.8,S,86.0,23.99176612,324.0,0.152227125
365,4.9,N,41.0,70.57317459,145.0,0.240856649
271,4.3,S,79.0,119.4885051,463.0,0.009114328
229,4.0,N,41.0,75.56919018,629.0,0.032554032
379,5.2,S,79.0,90.9600986,229.0,0.360387058
8517,4.8,N,43.0,83.0,278.0,0.024675112
505,4.2,R,90.0,159.798005,709.0,0.011736625
565,4.7,S,70.0,98.80649298,488.0,0.156900621
617,4.9,N,53.0,162.7608958,683.0,0.100384581
205,4.6,S,56.0,64.7148839,629.0,0.023756171
641,4.3,S,80.0,166.9182327,480.0,0.005751915
583,4.5,S,84.0,34.04607823,1380.0,0.033416176
